笔记链接,页码,评论者昵称,评论者id,评论者主页链接,评论时间,评论IP属地,评论点赞数,评论级别,评论内容
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,呵呵哒,5b47075b4eacab5f2140539e,https://www.xiaohongshu.com/user/profile/5b47075b4eacab5f2140539e,2022/3/9 22:16,,270,根评论,[笑哭R]存钱才会让我快乐，花钱只会让我心慌
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,Suvi_yyy,5998b7885e87e73c592bb0cd,https://www.xiaohongshu.com/user/profile/5998b7885e87e73c592bb0cd,2022/3/9 22:27,,6,二级评论,是的[哭惹R]
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,奶咖椰椰糖,5c943b4600000000100310de,https://www.xiaohongshu.com/user/profile/5c943b4600000000100310de,2022/3/10 09:45,,0,二级评论,我也是，哈哈哈哈，存钱超快乐
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,幸运宝宝,583823055e87e73f0bf82031,https://www.xiaohongshu.com/user/profile/583823055e87e73f0bf82031,2022/3/12 23:44,,1,二级评论,你的经济条件可以不用那么苛刻，你可以把花销控制在5000元以内。稍微有些结余不要月光就行了。
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,Suvi_yyy,5998b7885e87e73c592bb0cd,https://www.xiaohongshu.com/user/profile/5998b7885e87e73c592bb0cd,2022/3/13 00:08,,0,二级展开评论,哈哈哈我工资4000！
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,幸运宝宝,583823055e87e73f0bf82031,https://www.xiaohongshu.com/user/profile/583823055e87e73f0bf82031,2022/3/13 00:18,,0,二级展开评论,[笑哭R]4000是怎么做到每个月花7-8k还有存款的。我以为你7-8k
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,亦无忧,556e2a05e58d132eb7c61f89,https://www.xiaohongshu.com/user/profile/556e2a05e58d132eb7c61f89,2022/3/13 07:28,,0,二级展开评论,最近投资理财都是亏吧
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,Suvi_yyy,5998b7885e87e73c592bb0cd,https://www.xiaohongshu.com/user/profile/5998b7885e87e73c592bb0cd,2022/3/13 11:29,,0,二级展开评论,哈哈，文案里面说了还有其他理财呀
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,Summer-H,5a8e2561e8ac2b52400ac68f,https://www.xiaohongshu.com/user/profile/5a8e2561e8ac2b52400ac68f,2022/4/3 16:40,,0,二级展开评论,存钱快乐
https://www.xiaohongshu.com/explore/62288e92000000000102bb1d,1,多喵与柚橙,5af93dd911be100ecfa5de05,https://www.xiaohongshu.com/user/profile/5af93dd911be100ecfa5de05,2022/3/10 12:16,,207,根评论,然后你存钱是想干嘛，你要有个目标，然后你存钱意味着你在迈向那个目标，就不会痛苦。如果没有，那你这个存钱只是让自己变穷，那不是反而是背道而驰了吗
